path,label
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/cd7fe958a56dfac3e00136827955d3b9ab3da00dd75c45c0253eb5876b459b22.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/c27f5d3453879a084e56a84fd62865398285f19c197fe0c6be92a17318940008.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/67197aaecb64eec7582695427bd3a80760de6a775aeb800a08e7243f073bd068.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/4531ab6b21a5b7045c4bd59e530b6b83ba8d7c8744285d5947f0b38327e13e0e.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/872bd5d669e27379f8cf2c56f8b5a2d688e2d0ad585b8cd44286f1f93dd38c30.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/d3876b0d6292ccd04ced7f8bb1b36513acb281c987a350f459ca726529edc8b3.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/610997ce5a23b29cfb8bd1578e18f01d6141940f429b5ce677e6d5f942b6b6b8.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/7689af853b34429e70977bb4c502ed94738741b70d20501a3ae0b342f2346dbc.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/d00b3dbc5eaa434e657a610ff7620cdbd6917518270bde87cbd13df700e6ec1c.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/4d69a529f886567db4790a05e8150b20ff3446d2631bb19563cfe3d0471bc528.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/53d36bedd7d878368ba11eeb10bdc8c53377db29ebffa91583f451fa3eb4c2a5.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/467b7e3a4e0b36f39b9492b0a412f8d6e4c887472fca14e52b97f5298c98d7fd.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/3e8be328ae6df302bf77445a0e41a01f149d5bb66face23da0df985550e909aa.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/a0c0deb32230c6b00a10ccb114b3a441f7d16d08fe8ff87e5845386ceb30d35b.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/faba2622dca32eb791fe6d0da988bdbea94ce3cf266ca9fe9de3d1427fb394ee.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/14e18f16be29d958be4b61ac1950b0e8be7cbe2a4b008094eb0a3885a37046b9.jpg,healthy
